Zeit (ns),Daten (Hex)
1965,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ed098b1acb880
1975,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010892f62c17b60
1985,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019bb158910fd60
1995,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002fa9d57b0939c0
2005,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002bd726e45df800
2015,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016e8f8fea5bbc0
2025,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000179bf1d50c9de0
2035,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128c4ee76e0f80
2045,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001797a8d5568920
2055,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000268f7398105ce0
2065,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001bda3f15b281e0
2075,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001045eb2c362320
2085,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001cab2aa5287a20
2095,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028f85802303100
2105,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053258fb47c9cc0
2115,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003ef9825f398680
2125,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1f127d5e07c0
2135,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002963b1dd6a89e0
2145,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129823842bd480
2155,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015bc52755e1d40
2165,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034e0c4838bbfc0
2175,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016bd93b2cd6300
2185,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000372c91a0dc79a0
2195,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001d08299ee44b60
2205,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001dcd0a42db3b20
2215,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027367bdb93f9e0
2225,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003572e93e9f1440
2235,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012c3a8a89f91c0
2245,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110cf59eccae00
2255,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002bf129ceec0a80
2265,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015f91118a8baa0
2275,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001afb4cfd55dce0
2285,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001752211519a060
2295,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001994c56e1c0ac0
2305,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011435a9149c2e0
2315,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000043b3c2e64a31c0
2325,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001f1d41f11fc7e0
2335,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001729b6490de680
2345,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000d936dc70bde40
2355,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1943603863e0
2365,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000423387a790a7a0
2375,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001f9acb54f90a40
2385,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012b46ff86b1000
2395,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013ff56d8466260
2405,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013d34f96519100
2415,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018716fd0827d40
2425,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001968d749af60c0
2435,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022c0edcfe24780
2445,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027efb6eca296c0
2455,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019758ee65dda00
2465,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023dfe14664fc00
2475,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024358f193c8f00
2485,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024ff6a330500c0
2495,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211fc17fafc0e0
2505,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010347af24f41e0
2515,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000184d0397e31700
2525,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018bf48d51c3ae0
2535,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017406965102d60
2545,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003cbd9f5e601ec0
