Zeit (ns),Daten (Hex)
1965,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002e8e85e6bde1a0
1975,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000181081121e4540
1985,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000944e495a566c20
1995,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001f61c8cef7d880
2005,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003208ebdbf99280
2015,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002964dd537dbea0
2025,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003f2f0047ed8f40
2035,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023717d92c18320
2045,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003a89979812e280
2055,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002c835b93d71ba0
2065,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009dfbe5e49ea840
2075,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000341491a4ff6940
2085,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012e07f9cd57820
2095,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000146ed233397960
2105,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222ab463da4440
2115,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002f00725f10b200
2125,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002102829f321640
2135,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c515297850e60
2145,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002beb030a69d880
2155,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019e8e654bf97c0
2165,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002de69105c05da0
